Duty cycle (%)	Duty cycle (%)_stddev	DMM VHigh (mV)	DMM VHigh (mV)_stddev	DMM IHigh (mA)	DMM IHigh (mA)_stddev	DMM VLow (mV)	DMM VLow (mV)_stddev	DMM ILow (mA)	DMM ILow (mA)_stddev	DMM POWER High (W)	DMM POWER High (W)_stddev	DMM POWER Low (W)	DMM POWER Low (W)_stddev	DMM Efficiency (%)	DMM Efficiency (%)_stddev	TWIST Duty Cycle (%)	TWIST Duty Cycle (%)_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	TWIST Power High (W)	TWIST Power High (W)_stddev	TWIST Power Leg 1 (W)	TWIST Power Leg 1 (W)_stddev	TWIST Power Leg 2 (W)	TWIST Power Leg 2 (W)_stddev	TWIST Efficiency Leg 1 (%)	TWIST Efficiency Leg 1 (%)_stddev	TWIST Efficiency Leg 2 (%)	TWIST Efficiency Leg 2 (%)_stddev	Power High Absolute error (W)	Power High Absolute error (W)_stddev	Power Low1 Absolute error (W)	Power Low1 Absolute error (W)_stddev	Power Low2 Absolute error (W)	Power Low2 Absolute error (W)_stddev	Power High relative error (%)	Power High relative error (%)_stddev	Power Low1 relative error (%)	Power Low1 relative error (%)_stddev	Power Low2 relative error (%)	Power Low2 relative error (%)_stddev	Efficiency Absolute error leg 1 (%)	Efficiency Absolute error leg 1 (%)_stddev	Efficiency Absolute error leg 2 (%)	Efficiency Absolute error leg 2 (%)_stddev	Efficiency Relative error leg 1 (%)	Efficiency Relative error leg 1 (%)_stddev	Efficiency Relative error leg 2 (%)	Efficiency Relative error leg 2 (%)_stddev
45.0	0.0	24052.0	0.0	1238.0	0.0	10139.0	0.0	2507.0	0.0	29.8	0.0	25.4	0.0	85.2	0.0	45.0	0.0	23593.2	151.59	8866.0	111.56	10031.4	62.4	1122.2	32.62	2287.4	32.71	-78.6	40.14	26.48	0.76	20.3	0.48	-0.8	0.39	76.74	3.31	-3.04	1.51	3.3	0.76	5.1	0.48	26.2	0.39	11.0	2.76	20.0	1.9	103.0	1.62	-8.46	3.31	-88.24	1.51	-0.1	0.06	-1.04	0.05
50.0	0.0	24053.2	0.4	1362.0	0.0	11336.8	0.4	2507.0	0.0	32.8	0.0	28.4	0.0	86.6	0.0	50.0	0.0	23566.2	213.33	10083.6	118.11	11110.2	94.16	1194.0	58.02	2271.2	26.99	-36.2	36.91	28.14	1.37	22.92	0.36	-0.4	0.41	81.72	5.14	-1.46	1.57	4.7	1.37	5.5	0.36	28.8	0.41	14.0	4.02	19.0	1.2	101.0	1.62	-4.88	5.14	-88.06	1.57	-0.06	0.08	-1.0	0.0
55.0	0.0	24050.0	0.0	1487.0	0.0	12533.0	0.0	2507.0	0.0	35.8	0.0	31.4	0.0	87.7	0.0	55.0	0.0	23687.8	223.39	11264.0	115.37	12345.6	74.74	1348.4	95.15	2305.0	26.97	-60.6	61.21	31.94	2.19	25.94	0.43	-0.72	0.75	81.62	6.01	-2.3	2.42	3.9	2.19	5.5	0.43	32.1	0.75	11.0	6.2	18.0	1.47	102.0	2.58	-6.08	6.01	-90.0	2.42	-0.08	0.07	-1.02	0.04
5.0	0.0	24057.0	0.0	238.0	0.0	592.8	0.4	2201.6	0.8	5.7	0.0	1.3	0.0	22.8	0.0	5.0	0.0	23687.8	215.14	-800.2	61.03	454.4	90.41	163.4	35.95	1867.0	60.72	-169.0	21.57	3.86	0.87	-1.5	0.11	-0.08	0.04	-40.52	7.61	-1.96	1.04	1.8	0.87	2.8	0.11	1.4	0.04	32.0	15.19	215.0	8.4	108.0	3.2	-63.32	7.61	-24.76	1.04	-2.76	0.34	-1.08	0.04
10.0	0.0	24054.0	0.0	458.0	0.0	1665.0	0.0	3510.0	0.0	11.0	0.0	5.8	0.0	52.7	0.0	10.0	0.0	23512.0	137.67	361.8	181.99	1542.2	79.14	355.0	41.11	3194.8	23.01	-258.0	40.13	8.34	0.99	1.18	0.59	-0.4	0.06	14.9	8.98	-4.86	0.87	2.7	0.99	4.6	0.59	6.2	0.06	25.0	8.86	79.0	10.05	107.0	1.26	-37.8	8.98	-57.56	0.87	-0.7	0.17	-1.1	0.0
15.0	0.0	24053.4	0.49	630.0	0.0	2862.0	0.0	3510.0	0.0	15.2	0.0	10.0	0.0	65.8	0.0	15.0	0.0	23539.4	189.06	1588.4	107.6	2813.8	93.82	514.8	50.44	3191.6	36.71	-197.4	36.47	12.1	1.16	5.1	0.36	-0.56	0.12	42.72	6.6	-4.78	1.62	3.1	1.16	4.9	0.36	10.6	0.12	20.0	7.5	49.0	3.63	106.0	1.2	-23.08	6.6	-70.58	1.62	-0.36	0.1	-1.1	0.0
20.0	0.0	24053.8	0.4	803.0	0.0	4058.0	0.0	3510.0	0.0	19.3	0.0	14.2	0.0	73.6	0.0	20.0	0.0	23579.8	130.91	2815.6	149.95	4058.6	118.11	689.2	54.84	3196.8	26.94	-128.4	37.93	16.26	1.34	8.98	0.42	-0.52	0.18	55.58	5.03	-3.22	1.13	3.0	1.34	5.2	0.42	14.7	0.18	16.0	6.79	37.0	2.99	104.0	1.36	-18.02	5.03	-76.82	1.13	-0.24	0.08	-1.06	0.05
25.0	0.0	24049.4	0.49	977.0	0.0	5253.0	0.0	3510.0	0.0	23.5	0.0	18.4	0.0	78.3	0.0	25.0	0.0	23606.8	184.09	4023.4	36.8	5192.4	36.8	840.4	47.12	3226.2	46.26	-136.8	40.91	19.82	1.21	12.98	0.25	-0.7	0.2	65.78	4.74	-3.54	0.97	3.7	1.21	5.4	0.25	19.1	0.2	16.0	5.24	29.0	1.36	104.0	1.02	-12.52	4.74	-81.84	0.97	-0.16	0.05	-1.02	0.04
30.0	0.0	24050.0	0.0	1151.0	0.0	6448.0	0.0	3510.0	0.0	27.7	0.0	22.6	0.0	81.6	0.0	30.0	0.0	23593.2	138.95	5176.4	94.72	6372.0	41.14	1032.0	42.35	3239.4	38.02	-99.8	52.28	24.36	0.92	16.76	0.4	-0.62	0.32	68.86	2.19	-2.58	1.33	3.3	0.92	5.8	0.4	23.2	0.32	12.0	3.46	26.0	1.85	103.0	1.55	-12.74	2.19	-84.18	1.33	-0.16	0.05	-1.0	0.0
35.0	0.0	24054.0	0.0	1326.0	0.0	7645.0	0.0	3510.0	0.0	31.9	0.0	26.8	0.0	84.0	0.0	35.0	0.0	23552.8	246.6	6292.6	36.8	7561.2	125.27	1173.0	55.4	3271.6	47.61	-96.8	49.32	27.62	1.48	20.58	0.31	-0.74	0.38	74.7	3.65	-2.68	1.33	4.3	1.48	6.2	0.31	27.5	0.38	13.0	4.8	23.0	1.17	103.0	1.36	-9.3	3.65	-86.68	1.33	-0.14	0.05	-1.0	0.0
40.0	0.0	24048.0	0.0	1500.0	0.0	8837.0	0.0	3510.0	0.0	36.1	0.0	31.0	0.0	85.9	0.0	40.0	0.0	23687.6	150.47	7537.8	141.68	8805.8	110.4	1360.2	59.71	3302.0	35.31	-75.4	42.39	32.2	1.44	24.9	0.51	-0.66	0.37	77.5	3.93	-2.1	1.26	3.9	1.44	6.1	0.51	31.7	0.37	11.0	4.07	20.0	1.85	102.0	1.26	-8.4	3.93	-88.0	1.26	-0.1	0.06	-1.0	0.0
45.0	0.0	24050.2	0.4	1674.6	0.49	10033.0	0.0	3510.0	0.0	40.3	0.0	35.2	0.0	87.3	0.0	45.0	0.0	23552.8	177.91	8856.6	34.85	9902.6	46.91	1537.8	27.78	3292.2	37.76	-72.0	20.13	36.24	0.73	29.16	0.24	-0.7	0.19	80.46	1.03	-1.94	0.56	4.1	0.73	6.0	0.24	35.9	0.19	10.0	1.9	17.0	0.75	102.0	0.75	-6.84	1.03	-89.24	0.56	-0.1	0.0	-1.0	0.0
50.0	0.0	24053.0	0.0	1848.4	0.49	11230.0	0.0	3510.0	0.0	44.44	0.05	39.4	0.0	88.62	0.1	50.0	0.0	23633.6	147.98	10046.6	65.48	11175.0	54.02	1657.6	42.69	3261.0	80.82	-77.4	36.0	39.16	1.02	32.76	0.72	-0.86	0.4	83.72	2.73	-2.2	1.07	5.3	1.06	6.6	0.72	40.3	0.4	12.0	2.32	17.0	1.94	102.0	1.17	-4.9	2.78	-90.82	1.05	-0.06	0.05	-1.0	0.0
55.0	0.0	24049.0	0.0	2022.2	0.4	12425.0	0.0	3510.0	0.0	48.62	0.04	43.6	0.0	89.66	0.08	55.0	0.0	23701.4	200.24	11181.2	111.59	12400.8	106.5	1851.0	42.57	3294.4	46.74	-73.4	18.03	43.88	1.25	36.84	0.64	-0.9	0.2	84.02	2.79	-2.06	0.46	4.7	1.25	6.8	0.64	44.5	0.2	10.0	2.42	16.0	1.5	102.0	0.63	-5.64	2.82	-91.72	0.49	-0.06	0.05	-1.0	0.0
5.0	0.0	24056.6	0.49	238.0	0.0	592.8	0.4	2193.0	0.89	5.7	0.0	1.3	0.0	22.8	0.0	5.0	0.0	23593.4	207.34	-883.4	167.51	472.8	65.34	166.6	31.41	1864.8	90.07	-206.0	53.67	3.94	0.76	-1.62	0.23	-0.12	0.04	-41.62	4.66	-3.16	1.18	1.8	0.76	2.9	0.23	1.4	0.04	32.0	13.38	223.0	17.92	108.0	2.8	-64.42	4.66	-25.96	1.18	-2.82	0.19	-1.12	0.04
10.0	0.0	24053.0	0.0	545.0	0.0	1575.2	0.4	4513.0	0.0	13.1	0.0	7.1	0.0	54.2	0.0	10.0	0.0	23525.6	232.25	352.6	173.46	1588.2	102.45	485.0	49.51	4186.4	31.72	-276.2	49.6	11.4	1.13	1.48	0.72	-0.42	0.07	12.84	6.0	-3.76	0.9	1.7	1.13	5.6	0.72	7.5	0.07	13.0	8.52	79.0	9.99	106.0	1.1	-41.36	6.0	-57.96	0.9	-0.8	0.11	-1.08	0.04
15.0	0.0	24055.0	0.0	767.0	0.0	2771.0	0.0	4513.0	0.0	18.5	0.0	12.5	0.0	67.6	0.0	15.0	0.0	23552.8	188.09	1413.4	144.13	2841.4	68.85	635.2	42.39	4176.6	28.97	-215.4	22.64	14.94	0.98	5.92	0.62	-0.64	0.05	39.68	3.63	-4.3	0.36	3.6	0.98	6.6	0.62	13.1	0.05	19.0	5.53	53.0	4.96	105.0	0.49	-27.92	3.63	-71.9	0.36	-0.44	0.05	-1.1	0.0
20.0	0.0	24051.0	0.0	990.0	0.0	3965.0	0.0	4513.6	0.49	23.8	0.0	17.9	0.0	75.2	0.0	20.0	0.0	23566.2	154.1	2704.6	98.49	3892.6	147.1	884.2	50.62	4194.0	15.01	-180.6	30.0	20.8	1.24	11.34	0.43	-0.7	0.15	54.74	4.22	-3.34	0.65	3.0	1.24	6.6	0.43	18.6	0.15	13.0	5.12	37.0	2.56	104.0	1.17	-20.46	4.22	-78.54	0.65	-0.28	0.04	-1.02	0.04
25.0	0.0	24050.2	0.4	1214.0	0.0	5159.8	0.4	4514.0	0.0	29.2	0.0	23.3	0.0	79.8	0.0	25.0	0.0	23687.8	156.43	3959.0	108.86	5127.8	130.39	1081.6	56.61	4224.4	21.58	-173.0	49.13	25.62	1.37	16.72	0.49	-0.88	0.26	65.38	2.67	-3.44	1.03	3.6	1.37	6.6	0.49	24.2	0.26	12.0	4.66	28.0	2.32	104.0	1.33	-14.42	2.67	-83.24	1.03	-0.18	0.04	-1.02	0.04
30.0	0.0	24048.0	0.0	1438.0	0.0	6352.0	0.0	4514.0	0.0	34.6	0.0	28.7	0.0	82.9	0.0	30.0	0.0	23579.6	137.81	5093.6	36.8	6436.6	80.5	1297.4	40.26	4235.4	19.89	-150.8	37.4	30.6	1.09	21.56	0.16	-0.98	0.24	70.56	2.48	-3.18	0.69	4.0	1.09	7.1	0.16	29.7	0.24	12.0	3.2	25.0	0.63	103.0	1.2	-12.34	2.48	-86.08	0.69	-0.16	0.05	-1.0	0.0
35.0	0.0	24050.0	0.0	1663.0	0.0	7546.0	0.0	4514.0	0.0	40.0	0.0	34.1	0.0	85.2	0.0	35.0	0.0	23458.2	125.04	6265.0	82.29	7616.8	92.3	1503.0	54.39	4222.4	60.7	-152.0	38.56	35.26	1.31	26.44	0.43	-1.14	0.31	75.1	2.89	-3.26	0.95	4.7	1.31	7.7	0.43	35.2	0.31	12.0	3.22	23.0	1.2	103.0	1.02	-10.1	2.89	-88.46	0.95	-0.1	0.0	-1.02	0.04
40.0	0.0	24053.0	0.0	1887.0	0.0	8740.0	0.0	4514.0	0.0	45.4	0.0	39.5	0.0	87.0	0.0	40.0	0.0	23755.2	167.63	7482.4	80.2	8815.0	76.97	1710.2	46.97	4273.6	75.4	-128.4	65.48	40.62	1.0	31.98	0.26	-1.14	0.58	78.78	1.54	-2.8	1.44	4.8	1.0	7.5	0.26	40.6	0.58	11.0	2.15	19.0	0.63	103.0	1.55	-8.22	1.54	-89.8	1.44	-0.1	0.0	-1.0	0.0
45.0	0.0	24048.0	0.0	2111.0	0.0	9932.0	0.0	4514.0	0.0	50.8	0.0	44.8	0.0	88.2	0.0	45.0	0.0	23606.8	203.19	8727.6	103.59	10059.2	105.16	1937.8	58.91	4325.6	34.76	-118.8	20.33	45.74	1.32	37.74	0.58	-1.22	0.19	82.58	2.9	-2.68	0.35	5.1	1.32	7.1	0.58	46.0	0.19	10.0	2.53	16.0	1.36	103.0	0.49	-5.62	2.9	-90.88	0.35	-0.06	0.05	-1.0	0.0
50.0	0.0	24055.4	0.49	2334.2	0.4	11130.0	0.0	4514.0	0.0	56.12	0.04	50.2	0.0	89.46	0.08	50.0	0.0	23633.8	112.83	9963.4	67.85	11221.2	18.4	2174.6	7.2	4268.0	51.2	-88.2	50.76	51.42	0.21	42.52	0.35	-0.98	0.57	82.72	0.59	-1.9	1.11	4.7	0.2	7.7	0.35	51.2	0.57	8.0	0.49	15.0	0.98	102.0	1.17	-6.74	0.59	-91.36	1.17	-0.1	0.0	-1.0	0.0
55.0	0.0	24055.0	0.0	2558.0	0.0	12325.0	0.0	4514.0	0.0	61.5	0.0	55.6	0.0	90.4	0.0	55.0	0.0	23566.4	200.37	11079.4	36.8	12456.0	112.68	2379.0	74.06	4237.4	21.21	-129.6	55.07	56.06	1.89	46.94	0.38	-1.6	0.71	83.8	3.2	-2.86	1.31	5.4	1.89	8.7	0.38	57.2	0.71	9.0	3.31	16.0	0.8	103.0	1.41	-6.6	3.2	-93.26	1.31	-0.06	0.05	-1.02	0.04
5.0	0.0	24056.0	0.0	238.0	0.0	593.0	0.0	2182.6	1.02	5.7	0.0	1.3	0.0	22.8	0.0	5.0	0.0	23890.2	144.07	-846.6	128.62	463.6	61.3	135.0	40.54	1845.4	38.47	-177.4	40.69	3.24	0.96	-1.56	0.25	-0.08	0.04	-57.34	32.39	-3.04	2.16	2.5	0.96	2.9	0.25	1.4	0.04	44.0	16.94	223.0	19.1	108.0	3.2	-80.14	32.39	-25.84	2.16	-3.52	1.44	-1.12	0.1
10.0	0.0	24052.2	0.4	624.0	0.0	1494.2	0.75	5424.2	1.72	15.0	0.0	8.1	0.0	54.0	0.0	10.0	0.0	23633.6	60.37	260.4	34.85	1431.2	68.07	530.6	66.55	5117.6	18.78	-290.2	41.16	12.56	1.58	1.32	0.19	-0.42	0.04	10.76	2.44	-3.4	0.55	2.4	1.58	6.8	0.19	8.5	0.04	16.0	10.57	84.0	2.24	105.0	0.4	-43.24	2.44	-57.4	0.55	-0.78	0.04	-1.1	0.0
15.0	0.0	24049.0	0.0	904.0	0.0	2680.0	0.0	5517.0	0.0	21.7	0.0	14.8	0.0	68.2	0.0	15.0	0.0	23660.8	163.15	1450.2	69.27	2786.2	106.5	806.8	53.42	5159.0	29.46	-223.0	33.35	19.08	1.23	7.48	0.35	-0.62	0.12	39.32	2.82	-3.22	0.47	2.6	1.23	7.3	0.35	15.4	0.12	12.0	5.78	49.0	2.15	104.0	0.89	-28.88	2.82	-71.42	0.47	-0.42	0.04	-1.02	0.04
20.0	0.0	24051.0	0.0	1177.0	0.0	3872.8	0.4	5517.6	0.49	28.3	0.0	21.4	0.0	75.6	0.0	20.0	0.0	23606.8	91.36	2510.6	46.91	4049.4	85.71	1035.0	57.16	5164.4	57.23	-244.2	45.32	24.46	1.37	12.96	0.25	-1.0	0.2	53.18	3.41	-4.12	0.92	3.8	1.37	8.4	0.25	22.4	0.2	13.0	4.84	39.0	1.36	105.0	1.02	-22.42	3.41	-79.72	0.92	-0.32	0.04	-1.06	0.05
25.0	0.0	24048.4	0.49	1451.0	0.0	5065.4	0.49	5518.0	0.0	34.9	0.0	27.94	0.05	80.02	0.15	25.0	0.0	23607.0	179.1	3848.4	75.06	5118.6	110.72	1301.8	35.43	5256.6	33.92	-196.4	38.76	30.72	0.76	20.22	0.31	-1.0	0.21	65.86	1.81	-3.24	0.64	4.2	0.76	7.7	0.26	28.9	0.2	12.0	2.19	28.0	1.02	103.0	0.8	-14.16	1.74	-83.26	0.59	-0.18	0.04	-1.0	0.0
30.0	0.0	24049.0	0.0	1725.0	0.0	6257.0	0.0	5518.0	0.0	41.5	0.0	34.5	0.0	83.1	0.0	30.0	0.0	23566.2	229.9	5056.6	98.59	6289.2	73.6	1625.4	33.57	5255.6	16.38	-146.6	14.57	38.3	0.55	26.58	0.52	-0.92	0.07	69.42	2.29	-2.38	0.25	3.2	0.55	7.9	0.52	35.4	0.07	8.0	1.47	23.0	1.79	103.0	0.4	-13.68	2.29	-85.48	0.25	-0.16	0.05	-1.0	0.0
35.0	0.0	24047.0	0.0	1999.0	0.0	7448.0	0.0	5518.0	0.0	48.1	0.0	41.1	0.0	85.4	0.0	35.0	0.0	23498.6	270.15	6200.4	90.51	7450.8	103.73	1840.4	28.32	5229.6	29.23	-164.6	54.71	43.26	0.42	32.44	0.61	-1.24	0.41	75.0	1.82	-2.88	0.92	4.8	0.42	8.7	0.61	42.3	0.41	10.0	0.75	21.0	1.26	103.0	1.17	-10.4	1.82	-88.28	0.92	-0.12	0.04	-1.02	0.04
40.0	0.0	24054.0	0.0	2273.0	0.0	8641.0	0.0	5518.0	0.0	54.7	0.0	47.7	0.0	87.2	0.0	40.0	0.0	23377.2	50.46	7372.0	41.14	8769.0	76.97	2119.8	42.1	5268.6	25.61	-137.8	40.17	49.54	0.93	38.82	0.19	-1.2	0.35	78.4	1.64	-2.44	0.67	5.2	0.93	8.9	0.19	48.9	0.35	10.0	1.85	19.0	0.49	103.0	0.8	-8.8	1.64	-89.64	0.67	-0.1	0.0	-1.0	0.0
45.0	0.0	24057.0	0.0	2547.0	0.0	9835.0	0.0	5518.0	0.0	61.3	0.0	54.3	0.0	88.6	0.0	45.0	0.0	23633.8	195.63	8561.6	79.47	9893.4	107.29	2378.8	46.28	5241.6	23.5	-156.0	42.18	56.2	1.03	44.86	0.52	-1.54	0.42	79.86	1.86	-2.74	0.76	5.1	1.03	9.4	0.52	55.8	0.42	8.0	1.6	17.0	1.02	103.0	0.63	-8.74	1.86	-91.34	0.76	-0.1	0.0	-1.0	0.0
50.0	0.0	24052.8	0.4	2820.0	0.0	11026.0	0.0	5518.0	0.0	67.8	0.0	60.8	0.0	89.7	0.0	50.0	0.0	23620.2	116.27	9723.6	101.24	11128.8	102.93	2642.4	44.64	5289.2	53.9	-145.6	52.99	62.44	1.17	51.44	0.91	-1.62	0.57	82.4	1.53	-2.62	0.96	5.4	1.17	9.4	0.91	62.4	0.57	8.0	1.83	15.0	1.6	103.0	1.02	-7.3	1.53	-92.32	0.96	-0.1	0.0	-1.0	0.0
55.0	0.0	24056.0	0.0	3094.0	0.0	12221.0	0.0	5519.0	0.0	74.4	0.0	67.4	0.0	90.6	0.0	55.0	0.0	23674.2	151.66	10885.8	138.12	12456.0	92.0	2935.2	35.86	5291.2	16.76	-126.2	18.74	69.5	1.02	57.58	0.62	-1.58	0.24	82.84	1.58	-2.26	0.31	4.9	1.02	9.8	0.62	69.0	0.24	7.0	1.36	15.0	0.8	102.0	0.49	-7.76	1.58	-92.86	0.31	-0.1	0.0	-1.0	0.0
